id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,currency_id,year,month,deleted_at,created_at,updated_at
123,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-50000.0,0.0,50000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
124,1.408,1408,Mercancías no fabricadas por la empresa,0.0,2273000.0,2273000.0,0.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
125,1.408,1408,Mercancías no fabricadas por la empresa,0.0,100000.0,100000.0,0.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
126,1.408,1408,Mercancías no fabricadas por la empresa,0.0,122124.0,122124.0,0.0,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
127,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-428621.0,0.0,428621.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
128,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-212501.0,0.0,212501.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
129,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-210000.0,0.0,210000.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
130,1.413,1413,Servicios,0.0,-1.0,0.0,1.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
131,1.413,1413,Servicios,0.0,-5352002.0,0.0,5352002.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
132,1.413,1413,Servicios,0.0,-470000.0,0.0,470000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
133,1.413,1413,Servicios,0.0,150000.0,150000.0,0.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
134,1.413,1413,Servicios,0.0,-309000.0,0.0,309000.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
135,1.413,1413,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
136,1.413,1413,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
137,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,535500.0,0.0,535500.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
138,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,2423000.0,0.0,2423000.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
139,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,119000.0,0.0,119000.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
140,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,145327.56,0.0,145327.56,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
141,2.404,2404,Impuesto Sobre Las Ventas,0.0,570000.0,0.0,570000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
142,2.404,2404,Impuesto Sobre Las Ventas,0.0,9500.0,0.0,9500.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
143,2.404,2404,Impuesto Sobre Las Ventas,0.0,23940.0,0.0,23940.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
144,2.404,2404,Impuesto Sobre Las Ventas,0.0,47500.0,0.0,47500.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
145,2.404,2404,Impuesto Sobre Las Ventas,0.0,-85500.0,85500.0,0.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
146,2.404,2404,Impuesto Sobre Las Ventas,0.0,9500.0,0.0,9500.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
147,2.404,2404,Impuesto Sobre Las Ventas,0.0,-19000.0,19000.0,0.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
148,2.404,2404,Impuesto Sobre Las Ventas,0.0,-23203.56,23203.56,0.0,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
149,2.404,2404,Impuesto Sobre Las Ventas,0.0,1235.23,0.0,1235.23,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
150,2.404,2404,Impuesto Sobre Las Ventas,0.0,78945.0,0.0,78945.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
151,2.404,2404,Impuesto Sobre Las Ventas,0.0,332500.0,0.0,332500.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
152,2.422,2422,Retenciones En La Fuente,0.0,-45000.0,45000.0,0.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
153,2.422,2422,Retenciones En La Fuente,0.0,-127500.0,127500.0,0.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
154,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,3000000.0,0.0,3000000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
155,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
156,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,1000.0,0.0,1000.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
157,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
